recipe,temp_C,family,cycle,cycle_value,pred_nm
B205,-10,zmin,8,8.0,0.0
B205,-10,zmin,9,9.0,1719.3807373046875
B206,-10,zmin,1,1.0,0.0
B206,-10,zmin,2,2.0,0.0
B206,-10,zmin,3,3.0,0.0
B206,-10,zmin,4,4.0,0.0
B206,-10,zmin,5,5.0,0.0
B206,-10,zmin,6,6.0,101.80467224121094
B206,-10,zmin,7,7.0,269.22113037109375
B206,-10,zmin,8,8.0,444.74603271484375
B206,-10,zmin,9,9.0,2294.37255859375
B207,-10,zmin,1,1.0,0.0
B207,-10,zmin,2,2.0,0.0
B207,-10,zmin,3,3.0,0.0
B207,-10,zmin,4,4.0,49.0024528503418
B207,-10,zmin,5,5.0,391.4770812988281
B207,-10,zmin,6,6.0,709.737548828125
B207,-10,zmin,7,7.0,1004.4852294921875
B207,-10,zmin,8,8.0,1298.971435546875
B207,-10,zmin,9,9.0,2787.0693359375
B208,-10,zmin,1,1.0,0.0
B208,-10,zmin,2,2.0,0.0
B208,-10,zmin,3,3.0,0.0
B208,-10,zmin,4,4.0,0.0
B208,-10,zmin,5,5.0,276.76104736328125
B208,-10,zmin,6,6.0,560.8865356445312
B208,-10,zmin,7,7.0,825.3102416992188
B208,-10,zmin,8,8.0,1085.01611328125
B208,-10,zmin,9,9.0,2650.6455078125
B209,-10,zmin,1,1.0,0.0
B209,-10,zmin,2,2.0,0.0
B209,-10,zmin,3,3.0,0.0
B209,-10,zmin,4,4.0,353.04296875
B209,-10,zmin,5,5.0,723.9073486328125
B209,-10,zmin,6,6.0,1061.56396484375
B209,-10,zmin,7,7.0,1369.3294677734375
B209,-10,zmin,8,8.0,1677.609130859375
B209,-10,zmin,9,9.0,2990.872802734375
B210,-10,zmin,1,1.0,0.0
B210,-10,zmin,2,2.0,0.0
B210,-10,zmin,3,3.0,0.0
B210,-10,zmin,4,4.0,236.4017791748047
B210,-10,zmin,5,5.0,602.4319458007812
B210,-10,zmin,6,6.0,937.1784057617188
B210,-10,zmin,7,7.0,1254.837890625
B210,-10,zmin,8,8.0,1564.002197265625
B210,-10,zmin,9,9.0,2923.2734375
B211,-10,zmin,1,1.0,0.0
B211,-10,zmin,2,2.0,0.0
B211,-10,zmin,3,3.0,0.0
B211,-10,zmin,4,4.0,0.0
B211,-10,zmin,5,5.0,0.0
B211,-10,zmin,6,6.0,14.088034629821777
